대여일자,대여건수
2018.1.1,4950
2018.1.2,7136
2018.1.3,7156
2018.1.4,7102
2018.1.5,7705
2018.1.6,5681
2018.1.7,5220
2018.1.8,6309
2018.1.9,5988
2018.1.10,4476
2018.1.11,4337
2018.1.12,4401
2018.1.13,3756
2018.1.14,4675
2018.1.15,6993
2018.1.16,7421
2018.1.17,6990
2018.1.18,7054
2018.1.19,8329
2018.1.20,6148
2018.1.21,5574
2018.1.22,4929
2018.1.23,4263
2018.1.24,3370
2018.1.25,3307
2018.1.26,3116
2018.1.27,2833
2018.1.28,3028
2018.1.29,4425
2018.1.30,3591
2018.1.31,4104
2018.2.1,5821
2018.2.2,6557
2018.2.3,3499
2018.2.4,2642
2018.2.5,4213
2018.2.6,4257
2018.2.7,5028
2018.2.8,6114
2018.2.9,6905
2018.2.10,4829
2018.2.11,3047
2018.2.12,5231
2018.2.13,6863
2018.2.14,7477
2018.2.15,3935
2018.2.16,3047
2018.2.17,3494
2018.2.18,5191
2018.2.19,8563
2018.2.20,8899
2018.2.21,8342
2018.2.22,8580
2018.2.23,6408
2018.2.24,7198
2018.2.25,7595
2018.2.26,10712
2018.2.27,10064
2018.2.28,4230
2018.3.1,5761
2018.3.2,9388
2018.3.3,16029
2018.3.4,5373
2018.3.5,9943
2018.3.6,14028
2018.3.7,12925
2018.3.8,8812
2018.3.9,13573
2018.3.10,13324
2018.3.11,15136
2018.3.12,15913
2018.3.13,19514
2018.3.14,24911
2018.3.15,7091
2018.3.16,18415
2018.3.17,20165
2018.3.18,11740
2018.3.19,10297
2018.3.20,13205
2018.3.21,8225
2018.3.22,16420
2018.3.23,17904
2018.3.24,14914
2018.3.25,13942
2018.3.26,15505
2018.3.27,17456
2018.3.28,21232
2018.3.29,21436
2018.3.30,24411
2018.3.31,25673
2018.4.1,22994
2018.4.2,28139
2018.4.3,26817
2018.4.4,26034
2018.4.5,2833
2018.4.6,13297
2018.4.7,13088
2018.4.8,7758
2018.4.9,23925
2018.4.10,20423
2018.4.11,25557
2018.4.12,28885
2018.4.13,29497
2018.4.14,8216
2018.4.15,12721
2018.4.16,29589
2018.4.17,28236
2018.4.18,23499
2018.4.19,20400
2018.4.20,28351
2018.4.21,33144
2018.4.22,8095
2018.4.23,1037
2018.4.24,24560
2018.4.25,33728
2018.4.26,32547
2018.4.27,32989
2018.4.28,33738
2018.4.29,35159
2018.4.30,32629
2018.5.1,34593
2018.5.2,8374
2018.5.3,25963
2018.5.4,34058
2018.5.5,37389
2018.5.6,19809
2018.5.7,40026
2018.5.8,33738
2018.5.9,37851
2018.5.10,36549
2018.5.11,33923
2018.5.12,3551
2018.5.13,35668
2018.5.14,35918
2018.5.15,36476
2018.5.16,7072
2018.5.17,3802
2018.5.18,19629
2018.5.19,43471
2018.5.20,39036
2018.5.21,42039
2018.5.22,17444
2018.5.23,35975
2018.5.24,36858
2018.5.25,37569
2018.5.26,37761
2018.5.27,39534
2018.5.28,40775
2018.5.29,29925
2018.5.30,39214
2018.5.31,41619
2018.6.1,41970
2018.6.2,41677
2018.6.3,40565
2018.6.4,44014
2018.6.5,44118
2018.6.6,40440
2018.6.7,42038
2018.6.8,46516
2018.6.9,32839
2018.6.10,39277
2018.6.11,30605
2018.6.12,46201
2018.6.13,49116
2018.6.14,30511
2018.6.15,45103
2018.6.16,46457
2018.6.17,43484
2018.6.18,36316
2018.6.19,47296
2018.6.20,46612
2018.6.21,47762
2018.6.22,47478
2018.6.23,45663
2018.6.24,39548
2018.6.25,46565
2018.6.26,6391
2018.6.27,41128
2018.6.28,27757
2018.6.29,42765
2018.6.30,26911
2018.7.1,4358
2018.7.2,6261
2018.7.3,41350
2018.7.4,45741
2018.7.5,39804
2018.7.6,49521
2018.7.7,48015
2018.7.8,48132
2018.7.9,8155
2018.7.10,27956
2018.7.11,35390
2018.7.12,43611
2018.7.13,44976
2018.7.14,39205
2018.7.15,34957
2018.7.16,40964
2018.7.17,43323
2018.7.18,42609
2018.7.19,42316
2018.7.20,40337
2018.7.21,32360
2018.7.22,28250
2018.7.23,38003
2018.7.24,37486
2018.7.25,39225
2018.7.26,37796
2018.7.27,34985
2018.7.28,24649
2018.7.29,28317
2018.7.30,36701
2018.7.31,35262
2018.8.1,31169
2018.8.2,31321
2018.8.3,31646
2018.8.4,28174
2018.8.5,26989
2018.8.6,29113
2018.8.7,36983
2018.8.8,37140
2018.8.9,32216
2018.8.10,36178
2018.8.11,31293
2018.8.12,27363
2018.8.13,36076
2018.8.14,37659
2018.8.15,29270
2018.8.16,41358
2018.8.17,47634
2018.8.18,45629
2018.8.19,42281
2018.8.20,44243
2018.8.21,41964
2018.8.22,42425
2018.8.23,23616
2018.8.24,17319
2018.8.25,47109
2018.8.26,32200
2018.8.27,23382
2018.8.28,13495
2018.8.29,13001
2018.8.30,33158
2018.8.31,46101
2018.9.1,43847
2018.9.2,48427
2018.9.3,16086
2018.9.4,50500
2018.9.5,53984
2018.9.6,46532
2018.9.7,53230
2018.9.8,55470
2018.9.9,54213
2018.9.10,55188
2018.9.11,56212
2018.9.12,57363
2018.9.13,55791
2018.9.14,49383
2018.9.15,44808
2018.9.16,24317
2018.9.17,55335
2018.9.18,57691
2018.9.19,44096
2018.9.20,23616
2018.9.21,32242
2018.9.22,49688
2018.9.23,38635
2018.9.24,36406
2018.9.25,49595
2018.9.26,57730
2018.9.27,58200
2018.9.28,59649
2018.9.29,63866
2018.9.30,55893
2018.10.1,51808
2018.10.2,57280
2018.10.3,64671
2018.10.4,59413
2018.10.5,7772
2018.10.6,32510
2018.10.7,57873
2018.10.8,57247
2018.10.9,61525
2018.10.10,44876
2018.10.11,44489
2018.10.12,48529
2018.10.13,49203
2018.10.14,49025
2018.10.15,49503
2018.10.16,51236
2018.10.17,49795
2018.10.18,49560
2018.10.19,52122
2018.10.20,49815
2018.10.21,48346
2018.10.22,49889
2018.10.23,40223
2018.10.24,50343
2018.10.25,52181
2018.10.26,24308
2018.10.27,33699
